Abstract #,Abstract Title,Date,Time,Location,URL,Authors,Authors Affiliations,Abstract Text,Category,Sub Category,Session Title
P2-265,The Clinical Characteristics of Cognitive Impairment in Patients with Small Vessel Disease,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28489,"Junliang Yuan Sr., MD",McLean Hospital,"
Abstract:Junliang Yuan Sr., MD, McLean Hospital, Harvard Medical School,, Boston, MA, USA; Beijing Chaoyang Hospital, Capital Medical Univerisity, Beijing, ChinaBackground: To explore the clinical characteristics of the cognitive disorders in patients with small vessel disease (SVD). Method: A total of 60 patients with SVD and 50 age, gender-matched healthy subjects were recruited consecutively from the department of Neurology, Beijing Chaoyang Hospital. All the participants were performed by a battery of neuropsychological tests. The Fazekas scale was utilized to assess the severity of white matter lesions, and the scale of medial temporal lobe atrophy (MTA) was to evaluate the severity of medial temporal lobe. Result: Patients with SVD were associated with global cognitive function deficits, including the general tests of MMSE (25.9±2.4 vs 28.1±1.7) and MoCA (23.0±3.7 vs 26.2±3.0), and also with performances of AVLD-I, AVLT-D, AVLT-R, TMT-B, Stroop B, Stroop C and DST（P＜0.05）. The score of MOCA was related negatively with Fazekas scale (r=-0.361，P=0.04). The severity of Fazekas had a positive relationship with the scores of MTA (r=0.449，P=0.032). Conclusion: Patients with SVD are closely correlated to general cognitive impairment, especially with memory decline, attention and executive function, which may be attributed to the impairment of frontal-subcortical circle.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-266,A History-Based Computerized Questionnaire for the Diagnosis of Severity and Subtypes of Dementia: Design and Verify,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31198,"Pai-Yi Chiu, MD, PhD",Show Chwan Memorial Hospital,"
Abstract:Pai-Yi Chiu, MD, PhD, Show Chwan Memorial Hospital, Changhua, Taiwan and Cheng-Yu Wei, MD, MS, Chang Bing Show Chwan Memorial Hospital, Changhwa, TaiwanBackground: It is difficult for non-specialists to make a differential diagnosis of dementia therefore, diagnosis of dementia subtypes in a health care setting without a memory clinic is usually lacking, and the diagnostic accuracy is doubtful. We aimed to design a standardized and structured questionnaire for providing both clinical assistance and machine learning to achieve the goal of better and more accurate diagnosis of dementia. Method:",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-267,Moral Emotions in Frontotemporal Dementia,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=31540,1,MD,"
Abstract:Chloé Daigmorte1; Marc Teichmann, MD, PhD2,3; Aurélie Funkiewiez, PhD4; Maeva Camus1; Thomas Mauras, MD5; Isabelle Le Ber, MD, PhD1,6; Bruno Dubois, Prof., MD, PhD7,8,9; Richard Levy, MD, PhD1,10 and Carole Azuar, MD1,3, (1)APHP- Groupe Hospitalier Pitie Salpetriere, Paris, France, (2)Institut de la Mémoire et de la Maladie d'Alzheimer (IM2A), ICM, Salpetriere Hospital, AP-HP, University Paris 6, Paris, France, (3)INSERM- Universite Pierre et Marie Curie, Paris 6, IHU-ICM, Paris, France, (4)APHP-Groupe Hospitalier Pitie Salpetriere, Paris, France, (5)Centre Hospitalier Sainte Anne, Paris, France, (6)Sorbonne Universités, UPMC Univ Paris 06, Inserm, CNRS, Institut du cerveau et la moelle (ICM), AP-HP - Hôpital Pitié-Salpêtrière, Paris, France, (7)Brain & Spine Institute (ICM), INSERM U 1127, CNRS UMR 7225, Boulevard de l'hôpital, F-75013, Paris, France, (8)Sorbonne University, GRC n° 21, Alzheimer Precision Medicine (APM), AP-HP, Pitié-Salpêtrière Hospital, Boulevard de l'hôpital, F-75013, Paris, France, (9)Institute of Memory and Alzheimer's Disease (IM2A), Department of Neurology, Pitié-Salpêtrière Hospital, AP-HP, Boulevard de l'hôpital, F-75013, Paris, France, (10)INSERM- Université Pierre et Marie Curie, Paris 6, IHU-ICM, Paris, FranceBackground: Frontotemporal dementia (bv-FTD) is a neurodegenerative disorder that affects behavior and social cognition. According to literature, bv-FTD patients also seem to demonstrate impairments of moral emotions impacting cooperative behaviors, moral judgments, and the ability to respect moral and legal codes. The aim of our study was to explore moral emotions in bv-FTD patients. Method: 22 bv-FTD patients, 15 patients with typical Alzheimer’s disease (AD) having positive CSF AD-biomarkers, and 45 healthy controls, were assessed for moral emotions using a new tool called the ‘Moral Emotions Assessment’ task. This tool consisted in 42 scenarios exploring positive and negative moral emotions such as admiration, gratitude, shame or anger. To control for moral-specificity, we contrasted the 42 moral scenarios with 18 extra-moral scenarios eliciting the emotions without involving any inter-human moral context. Result::  Bv-FTD patients were more impaired in emotion processing than AD patients and healthy controls and had significantly poorer performance in the processing of emotions with inter-human moral valence than of emotions without moral contexts. ROC analyses of data on moral scenarios showed a high area under the curve (83%), and indicated a cut-off score (<37/42) for differentiating bv-FTD from AD with a sensitivity of 82 % and specificity of 73 %. Conclusion: Our findings demonstrate that bv-FTD patients have disorders in emotion processing which is mainly related to failure regarding moral emotions. This specific pattern could help detecting bv-FTD and differentiating it from AD.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-268,Validity of the Everyday Cognition (ECog) As a Screening Measure of Subjective Cognitive Decline (SCD),"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=33318,"1,2",MA,"
Abstract:Minji Song, MA1,2; Lee Sun Hwa, MA3 and Yeonwook Kang, Ph.D.2,4, (1)Hallym University Chuncheon Sacred Heart Hospital, Chuncheon, Korea, Republic of (South), (2)Hallym University, Chuncheon, Korea, Republic of (South), (3)Hallym University Dongtan Sacred Heart Hospital, Hwaseong, Korea, Republic of (South), (4)Hallym University Sacred Heart Hospital, Anyang, Korea, Republic of (South)Background: Everyday Cognition (ECog, Farias et al., 2008), which was developed to assess cognitively mediated functional abilities, has been widely used in differentiating people with Mild Cognitive Impairment (MCI) and dementia from normal older adults. Recently, it is also beginning to be used as a measure for assessing Subjective Cognitive Decline (SCD). However, the validity of ECog as a screening measure for SCD has not been examined so far. This study aimed to investigate the validity of the ECog to screen for SCD in community-dwelling older adults by comparing it with an SCD questionnaire that has been validated. Method: The participants were 112 older adults with SCD and 142 without SCD living in the community. The two groups were defined according to their responses of “Yes” or “No” to the question “Do you perceive memory or cognitive difficulties?” The Korean-Mini Mental State Examination (K-MMSE), Short form of the Geriatric Depression Scale (SGDS), Korean version of Subjective Cognitive Decline Questionnaire (SCD-Q, Rami et al., 2014), and Korean version of Everyday Cognition (K-ECog) were administered to all the participants. All participants showed normal range of scores on the K-MMSE and SGDS. Result: The total score on K-MMSE was not significantly different between the two groups after controlling for age, educational level, and depression level. The SCD group showed a significantly higher SCD-Q score than the control group. K-ECog was significantly correlated with the SCD-Q (r=0.47, p<.001). The scores on K-ECog global function and five domains except visuospatial function were significantly higher in the SCD than control group. The receiver operating characteristic (ROC) curve analysis results showed that the K-ECog global function score effectively differentiated SCD group from control group (AUC: 0.73). The difference between the AUC values of the K-ECog and SCD-Q (0.71) was not significant. Conclusion: These results showed that the ECog is as sensitive and valid for detecting SCD as the SCD-Q in community-dwelling elderly individuals. They suggest that the ECog can be used for screening a whole range of cognitive and functional deficits from SCD, MCI to dementia.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-269,Geriatric Depression Scale Item-Level Analysis in Relation to In Vivo Cortical Amyloid and Cerebral Regional Tau in Clinically Normal Older Adults: Findings from the Harvard Aging Brain Study,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=34059,"Jennifer R Gatchel, MD, PhD",,"
Abstract:Jennifer R Gatchel, MD, PhD1,2,3; Sietske A.M. Sikkes, PhD1,2,4,5; Mark A. van de Wiel, PhD6; Nancy J Donovan, MD1,2,7,8; Dorene M Rentz, PsyD1,2,7,8; Keith A Johnson, MD1,2,7,8,9; Reisa A Sperling, MD1,2,7,8; Gad A Marshall, MD1,2,7,8 and Rebecca Amariglio, PhD1,2,7,8, (1)Massachusetts General Hospital, Boston, MA, USA, (2)Harvard Medical School, Boston, MA, USA, (3)McLean Hospital, Belmont, MA, USA, (4)VU University Medical Center, Alzheimer Center, Amsterdam Neuroscience, Amsterdam, Netherlands, (5)Alzheimer Center Amsterdam, Department of Neurology, Amsterdam Neuroscience, Vrije Universiteit Amsterdam, Amsterdam UMC, Amsterdam, Netherlands, (6)VU University, Amsterdam, Netherlands, (7)Brigham and Women's Hospital, Boston, MA, USA, (8)Center for Alzheimer Research and Treatment, Brigham and Women's Hospital, Boston, MA, USA, (9)Department of Radiology, Division of Molecular Imaging and Nuclear Medicine, Massachusetts General Hospital, Boston, MA, USABackground: While evidence suggests that depression may be an early manifestation of Alzheimer’s Disease (AD), the relationship between depressive symptom dimensions and in vivo AD pathology is poorly understood. We previously reported an association between depression measured by the Geriatric Depression Scale (GDS) and regional tauopathy in cognitively unimpaired older adults. The current study was carried out to determine if specific GDS items were related to amyloidosis and regional tauopathy. Method: Cross-sectional data from 135 participants (age:76.30±6.24; 56.3% female), all cognitively unimpaired and with at most mild depression at baseline of the longitudinal Harvard Aging Brain Study, were analyzed. Participants underwent both amyloid (Pittsburgh Compound B) and tau (Flortaucipir) PET scans in study year four, from which continuous values for cortical amyloid and inferior temporal lobe (IT) and entorhinal cortex (EC) tau were derived; depression was assessed using the GDS-30. Adaptive LASSO regression models were employed to perform selection of 17 GDS items (endorsement frequency of >=10% in the sample) and estimate their effects on outcomes amyloid, IT tau and EC tau in a multivariate setting. Age, sex, and education were included in models as unpenalized covariates. Result: Six GDS items were related to amyloidosis: ‘not finding your mind as clear as it used to be’ showed the largest effect (β=0.069), followed by ‘not finding life very exciting’ and ‘feeling you have more problems with memory than most’. In models with tau, fewer items, all focused on cognition, were identified. For EC tau, these included ‘not finding your mind as clear as it used to be’(β=0.086) and ‘feeling you have more problems with memory than most’. Only one item, ‘not finding your mind as clear as it used to be’ was associated with IT tauopathy (β=0.017). Conclusion: In exploratory analyses, specific GDS items were related to cortical amyloidosis and regional tauopathy. Results suggest that in individuals with minimal depressive symptomatology, cognitive concerns may be the most prominent GDS items related to tau. Further longitudinal investigation across a wider range of depression severity is needed to better understand the temporal association of depression-related symptoms in preclinical AD.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-270,Protective Role of Orexinergic System Overexpression on Cognitive Function in Alzheimer Disease Patients,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=30578,"Soichiro Shimizu, MD., PhD",MD; Kentaro Hirao,"
Abstract:Soichiro Shimizu, MD., PhD; Naoto Takenoshita, MD; Kentaro Hirao, MD., PhD; Hidekazu Kanetaka, MD., PhD; Yoshitsugu Kaneko, MD; Yusuke Ogawa, MD; Hirofumi Sakurai, MD., PhD and Haruo Hanyu, MD., PhD, Tokyo Medical University, Tokyo, JapanBackground: Recently, many studies have investigated the association between orexin A and Alzheimer disease (AD).However, it is still unclear whether the observed changes in orexin A levels are associated with pathological changes underlying AD, or cognitive function. In particular, a direct association between cerebrospinal fluid (CSF) orexin A levels and cognitive function has not been reported to date. Therefore, the aim of this study was to identify whether there is a direct association between the orexinergic system and cognitive function in AD. Method: A total of 58 patients with AD who underwent CSF collection by lumbar puncture were enrolled. Correlations between CSF orexin A levels and CSF AD biomarker levels (i.e., levels of phosphorylated tau [P-tau], Aβ40, and Aβ42, and Aβ40/Aβ42and P-tau/Aβ42ratios) were assessed to confirm the results of previous studies. Moreover, the correlation between CSF orexin A levels and Mini Mental State Examination (MMSE) and Japanese version of the Montreal Cognitive Assessment (MoCA-J) scores were analyzed. Result: There was a significant correlation between MMSE scores and CSF Aβ42levels (r = 0.293, p = 0.031). CSF orexin-A levels were positively correlated with MMSE scores (r = 0.281, p = 0.038), MoCA score (r = 0.378, p = 0.013), and CSF Aβ40 levels (r = 0.374, p = 0.004) in AD patients. Conclusion: This is the first study to our knowledge demonstrating an association between cognitive function and CSF orexin A levels in AD. Our results suggest the possibility that overexpression of the orexinergic system, which occurs in association with the progression of AD pathology, may have protective effects on cognitive function.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-271,"The Effect of African American Race on Neurobehavioral Outcomes, Structural MRI Indices, and Cerebrospinal Fluid Concentrations of Tau and Aβ in Former National Football League Players","Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=34245,"Megan Mariani, BS, BA",,"
Abstract:Megan Mariani, BS, BA1; Michael L Alosco, PhD1; Yorghos Tripodis, PhD1,2; Shannon Conneely, BA1; Brett M Martin, MS2; Bhupinder Singh2; Robert Cantu, MD, PhD1; Inga Koerte, MD3; Alexander P Lin, PhD3,4; Martha Shenton, MD3,4 and Robert A Stern, PhD1, (1)Boston University School of Medicine, Boston, MA, USA, (2)Boston University School of Public Health, Boston, MA, USA, (3)Harvard Medical School, Boston, MA, USA, (4)Brigham and Women's Hospital, Boston, MA, USABackground: Chronic traumatic encephalopathy (CTE) is a neurodegenerative disease that has been neuropathologically diagnosed in individuals exposed to repetitive head impacts (RHI), like tackle football players. Risk factors and modifiers of the clinical and pathological expression of CTE are not well understood. African American (AA) race increases risk for Alzheimer’s disease (AD) and AA race may have similar effects in the setting of CTE. This study compared AA and Caucasian symptomatic former National Football League (NFL) players on neurobehavioral outcomes, structural MRI indices, and cerebrospinal fluid (CSF) concentrations of total tau (t-tau), phosphorylated tau (p=tau), and Aβ. Method: Ninety-five symptomatic former NFL players (ages 40-69; n=42 AA, n=53 Caucasians) underwent neurobehavioral testing, structural MRI, and lumbar puncture to quantify CSF t-tau, and p-tau181, Aβ1-42using immunoassays. Principal component analysis generated behavior/mood, psychomotor speed/executive function, and verbal and visual memory factor scores. FreeSurfer derived volumetric output. The cumulative head impact index (CHII) estimated RHI. Linear regressions examined the effect of AA on each neurobehavioral, structural MRI, and CSF variable, controlling for age, BMI, and the CHII (and intracranial volume for structural MRI, and education for neurobehavioral analyses). Sample sizes varied due to missing data (n=84-86). Result: Compared to Caucasians, AA had a higher BMI (p=0.017) and were three years younger (p=0.025). There were no differences in education or years of play. Compared to Caucasians, AA exhibited worse psychomotor speed/executive function (t=-4.33, p<0.001), had greater white matter hypointensity burden (t=2.96, p=0.004), and smaller volume of the right hippocampus (t=2.97, p=0.004), cortical white matter (t=-2.69, p=0.009), and total gray matter (t=4.51, p<0.001). AA had a higher p-tau181/t-tau ratio (t = 3.09, p = 0.003) and lower Aβ1-42(t=-2.48, p=0.015). Conclusion: In this sample of former NFL players, AA race was associated with worse executive function, greater structural brain alterations, and lower Aβ1-42concentrations and higherp-tau181/t-tau ratio levels. These findings coincide with the extant literature on the differential race effects on neurobehavioral and neurologic outcomes in the general population. AA make up a large proportion of the football population, particularly at the professional level, and studies examining neurologic outcomes in this population should account for race.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-272,Prevalence of Cognitive Impairment Among Peritoneal Dialysis Patients: A Systematic Review and Meta-Analysis,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=27848,"Yat Fung Shea, FRCP",MBBS; Mi Suen Connie Lee; Hon Wai Felix Chan,"
Abstract:Yat Fung Shea, FRCP; Ming Yee Maggie Mok, MBBS; Mi Suen Connie Lee; Hon Wai Felix Chan, FHKAM and Tak-Mao Chan, MD, Queen Mary Hospital, Hong Kong, Hong KongBackground: Cognitive impairment (CI) is common among patients on peritoneal dialysis (PD), but it is under-recognized and systematic information on its prevalence and impact across different geographical locations or patient characteristics is lacking. Method: A search of the literature on CI in PD patients published between 1.Jan.1980 and 31.Oct.2018 was conducted. Meta-analysis using a random effects model was performed to determine the pooled estimate of the prevalence of CI. Meta-regression was performed to identify factors contributing to the variance of prevalence rate. A systematic review was also performed to study risk factors of CI and its impact on clinical outcomes. Result: Eight studies were included and the relevant data from 1052 patients was extracted for analysis. Meta-analysis revealed a pooled prevalence of CI at 21.9% (95% CI 13.2-34.2%). Meta-regression analyses showed that the prevalence of CI was unrelated to patient’s age, gender, duration of PD, healthcare policy of dialysis modality, the prospective or retrospective nature of studies, or year of publication. Systematic review of 17 studies showed that older age, female sex and lower education were risk factors for CI. Also, CI was associated with a higher risk of hospitalization, mostly due to PD-related peritonitis. Conclusion: CI is common in patients on long-term PD, and has a significant impact on hospitalization rate. Screening for CI should be considered in PD patients with increased risk.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-273,Clinical-Neuropathological Correlations of Alzheimer’s Disease and Related Dementias in Latino Volunteers,"Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28120,"Jose Angel Soria Lopez, MD",University of California San Diego,"
Abstract:Jose Angel Soria Lopez, MD, University of California San Diego, San Diego, CA, USABackground: Clinical, neuropsychological, and neurological procedures used to diagnose Alzheimer’s disease (AD) and related dementias were largely developed and validated in well-educated, non-Latino, English-speaking populations. Sociocultural and genetic differences in Latinos might influence the accuracy of clinical diagnosis of AD and other dementias. We aim to compare the accuracy of the clinical diagnosis of AD and related dementias in Latinos with the corresponding neuropathological diagnosis. Method: From the UCSD Alzheimer’s Disease Research Center longitudinal cohort, we selected all Latino participants who had autopsy neuropathological studies from 1991 to 2017. Participants underwent annual neurological clinical evaluations, standard neuropsychological tests, neuroimaging, and genotyping of Apolipoprotein E. We calculated the sensitivity and specificity of the clinical diagnosis of AD against the primary pathological diagnosis. Result: Of the 34 participants with a primary neuropathological diagnosis of AD, 33 (97.1%) were correctly clinically diagnosed as having AD at the last clinical evaluation, and 1 was incorrectly diagnosed with dementia with Lewy bodies. Of the 19 participants without a primary neuropathological diagnosis of AD, 8 were incorrectly clinically diagnosed with probable AD at the last clinic evaluation. The clinical diagnosis of AD at the last clinical evaluation had 97.1% sensitivity and 57.9% specificity for autopsy-verified AD. In this Latino cohort, clinicians predicted AD pathological findings with high sensitivity but moderate specificity. Tangle only dementia was the most common misdiagnosis. Conclusion: Our study suggests that current procedures and instruments to clinically determine AD in Latinos have high sensitivity compared with neuropathology, but specificity needs to be improved.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
P2-274,"Muscle Profile and Progression of Alzheimer’S Dementia: Predictors of Poor Clinical Outcome and Role of Muscle Profile, a 3-Years Longitudinal Study","Mon, Jul 15  (Pacific)",9:30am - 4:15pm,South Hall GH - Los Angeles Convention Center,https://ep70.eventpilotadmin.com/web/page.php?page=Session&project=AAIC19&id=28122,Dong Wook KIM,Konkuk University Hospital,"
Abstract:Dong Wook KIM, Konkuk University Hospital, Seoul, Korea, Republic of (South) and Yeonsil Moon, SAGAJUNGRO 190, Woosung APT 12-1005, Seoul, Korea, Republic of (South); Konkuk University Medical Center, Seoul, Korea, Republic of (South)Background: Although many factors are known to affect the rate of cognitive decline, studies on clinical outcomes are rare. Moreover, muscle mass profiles and their relationship to dementia trajectories have not been extensively investigated. We investigated factors which affect the rate of clinical decline and the usefulness of muscle profiles for predicting the clinical outcomes of dementia patients with Alzheimer’s dementia (AD). Method: Sixty-nine subjects with probable AD, but without muscle weakness, were included this study. Variables including age, years of education, hypertension, diabetes mellitus, lacunar infarcts, baseline cognition, muscle mass, and strength were assessed during the initial visit of each subject. Over a period of three years, each subject received an annual evaluation that included a clinical interview and an assessment of their cognitive status as measured by a Clinical Dementia Rating – Sum of Boxes (CDR-SOB) score. Linear mixed-effects models were used to test for associations between each factor and the CDR-SOB score over time. These analyses were then repeated in a multivariate linear mixed-effects model after adjusting the covariates. Result: Age, DM, and baseline severity were identified as potential covariates that influence clinical progression; however, a subject’s muscle profile was not found to predict dementia progression. Conclusion: We expect that early screening and intervention, as well as new drugs with mechanisms of action similar to those of antidiabetic medications, will help patients with dementia maintain their clinical status.",Diagnosis and Prognosis,Clinical (neuropsychiatry and behavioral neurology),[Posters Mon] Diagnosis and Prognosis： Clinical (neuropsychiatry and behavioral neurology)
